file,annotations,avg_confidence,sast_risks,ml_signals,best_practices,high_severity,medium_severity,low_severity
highfreq_processor,34,0.7941,0,0,0,0,4,7
highfreq_provider,102,0.652,0,0,0,0,5,24
loader,23,0.8696,0,0,0,0,0,2
processor,41,0.5976,0,0,0,0,0,5
alpha,50,0.65,0,0,0,0,2,2
__init__,1,1.0,0,0,0,0,0,0
catboost_model,23,0.6522,0,0,0,0,0,6
double_ensemble,111,0.6577,0,0,0,0,0,15
gbdt,25,0.72,0,0,0,0,0,4
highfreq_gdbt_model,50,0.68,0,0,0,0,0,17
linear,43,0.7093,0,0,0,0,1,7
pytorch_adarnn,253,0.6542,0,0,0,0,0,33
pytorch_add,179,0.662,0,0,0,0,1,18
pytorch_alstm,83,0.7048,0,0,0,0,0,14
pytorch_alstm_ts,92,0.663,0,0,0,0,0,14
pytorch_gats,97,0.6804,0,0,0,0,0,16
pytorch_gats_ts,116,0.7414,0,0,0,0,2,18
pytorch_general_nn,66,0.7348,0,0,0,0,0,14
pytorch_gru,83,0.7952,0,0,0,0,0,11
pytorch_gru_ts,81,0.6852,0,0,0,0,0,13
pytorch_hist,125,0.712,0,0,0,0,3,19
pytorch_igmtf,118,0.7881,0,0,0,0,0,21
pytorch_krnn,122,0.6598,0,0,0,0,0,16
pytorch_localformer,97,0.732,0,0,0,0,0,16
pytorch_localformer_ts,114,0.6579,0,0,0,0,0,14
pytorch_lstm,72,0.6875,0,0,0,0,0,13
pytorch_lstm_ts,88,0.6477,0,0,0,0,0,13
pytorch_nn,94,0.6862,0,0,0,0,1,12
pytorch_sandwich,67,0.7687,0,0,0,0,0,16
pytorch_sfm,112,0.7768,0,0,0,0,0,16
pytorch_tabnet,258,0.7306,0,0,0,0,0,28
pytorch_tcn,66,0.6818,0,0,0,0,0,12
pytorch_tcn_ts,71,0.6831,0,0,0,0,0,12
pytorch_tcts,105,0.8429,0,0,0,0,0,13
pytorch_tra,254,0.6476,0,0,0,1,3,50
pytorch_transformer,79,0.7595,0,0,0,0,0,12
pytorch_transformer_ts,99,0.702,0,0,0,0,0,9
pytorch_utils,11,0.5909,0,0,0,0,0,2
tcn,38,0.6316,0,0,0,0,0,2
xgboost,22,0.7273,0,0,0,0,1,4
__init__,12,0.75,0,0,0,0,0,5
manager,40,0.675,0,0,0,1,1,4
online_model,19,0.6053,0,0,0,0,0,2
operator,96,0.6198,0,0,0,0,2,13
user,28,0.7321,0,0,0,0,0,2
utils,19,0.6842,0,0,0,0,3,5
__init__,4,0.625,0,0,0,0,0,1
high_freq,80,0.6937,0,0,0,0,0,11
graph,89,0.6573,0,0,0,0,5,7
utils,12,0.8333,0,0,0,0,0,2
__init__,1,0.5,0,0,0,0,0,0
base,75,0.8333,0,0,0,0,1,6
ddgda,78,0.6987,0,0,0,0,4,13
__init__,1,0.5,0,0,0,0,0,0
__main__,5,0.6,0,0,0,0,0,1
cost_control,18,0.6389,0,0,0,0,0,3
order_generator,18,0.7778,0,0,0,0,0,4
rule_strategy,109,0.7294,0,0,0,0,0,16
signal_strategy,78,0.7115,0,0,0,0,0,13
__init__,6,0.5,0,0,0,0,0,0
config,35,0.6714,0,0,0,0,3,15
launcher,10,0.65,0,0,0,0,3,0
pipeline,33,0.7576,0,0,0,0,0,5
space,5,1.0,0,0,0,0,0,0
tuner,70,0.7643,0,0,0,0,6,15
record_temp,40,0.7375,0,0,0,0,0,4
__init__,2,1.0,0,0,0,0,0,0
sepdf,78,0.7051,0,0,0,0,3,6
dataset,66,0.7197,0,0,0,0,0,15
model,47,0.7447,0,0,0,0,0,13
net,36,0.7778,0,0,0,0,2,2
utils,25,0.62,0,0,0,0,0,8
__init__,3,0.5,0,0,0,0,0,0
analysis_model_performance,69,0.6884,0,0,0,0,1,8
__init__,2,1.0,0,0,0,0,0,0
cumulative_return,23,0.6739,0,0,0,0,0,1
parse_position,33,0.7121,0,0,0,0,0,6
rank_label,16,0.6562,0,0,0,0,0,2
report,31,0.6452,0,0,0,0,1,7
risk_analysis,40,0.6875,0,0,0,0,0,6
score_ic,13,0.5385,0,0,0,0,0,0
__init__,6,1.0,0,0,0,0,0,0
ana,121,0.7479,0,0,0,0,0,10
base,16,0.6875,0,0,0,0,0,1
__init__,1,0.5,0,0,0,0,0,0
base,3,1.0,0,0,0,0,0,0
enhanced_indexing,30,0.6833,0,0,0,0,0,10
optimizer,68,0.6912,0,0,0,0,1,21
__init__,2,0.75,0,0,0,0,0,0
handler,118,0.6695,0,0,0,0,1,13
loader,90,0.6778,0,0,0,1,1,9
processor,157,0.742,0,0,0,0,2,22
storage,32,0.7812,0,0,0,0,0,4
utils,25,0.68,0,0,0,0,0,8
weight,4,0.75,0,0,0,0,0,2
__init__,135,0.7407,0,0,0,0,1,16
file_storage,187,0.6925,0,0,0,0,5,31
storage,108,0.662,0,0,0,1,2,17
__init__,2,0.5,0,0,0,0,0,0
ensemble,31,0.7097,0,0,0,0,0,6
group,23,0.6739,0,0,0,0,1,3
base,10,0.7,0,0,0,0,0,1
dataset,13,0.7308,0,0,0,0,0,1
model,14,0.6786,0,0,0,0,0,2
