file,annotations,avg_confidence,sast_risks,ml_signals,best_practices,high_severity,medium_severity,low_severity
git_utils,10,0.8,0,0,0,1,2,0
model_utils,4,0.875,0,0,0,0,0,1
pd_utils,60,0.6833,0,0,0,0,0,11
recorder_utils,13,0.6538,0,0,0,0,1,3
str_utils,7,0.7143,0,0,0,0,0,0
time_utils,110,0.7091,0,0,0,0,1,13
utils,89,0.6742,0,0,0,2,1,14
zip_utils,26,0.7115,0,0,0,0,4,7
__init__,1,0.5,0,0,0,0,0,0
__init__,12,0.9167,0,0,0,0,3,1
context,11,0.8636,0,0,0,0,0,2
errors,8,0.9375,0,0,0,0,0,0
qmt_account,98,0.7041,0,0,0,0,4,17
qmt_quote,86,0.7093,0,0,0,0,4,14
__init__,1,0.5,0,0,0,0,0,0
actor_meta,5,0.7,0,0,0,0,0,0
stock_actor,26,0.5192,0,0,0,0,0,4
__init__,6,0.8333,0,0,0,0,2,0
emotion,36,0.5417,0,0,0,0,0,0
__init__,5,0.6,0,0,0,0,0,1
dividend_financing,32,0.7812,0,0,0,0,0,0
finance,244,0.8381,0,0,0,0,0,2
trading,87,0.5115,0,0,0,0,0,0
valuation,22,0.6364,0,0,0,0,0,0
__init__,6,1.0,0,0,0,0,0,4
macro,25,0.96,0,0,0,0,0,0
monetary,10,0.65,0,0,0,0,0,1
__init__,6,0.5,0,0,0,0,0,0
block_meta,11,0.7727,0,0,0,0,0,0
cbond_meta,10,0.5,0,0,0,0,0,0
country_meta,13,0.6538,0,0,0,0,0,0
currency_meta,9,0.7778,0,0,0,0,0,1
etf_meta,15,0.5,0,0,0,0,0,0
fund_meta,10,0.6,0,0,0,0,0,1
future_meta,9,0.7222,0,0,0,0,0,0
indexus_meta,10,0.85,0,0,0,0,0,0
index_meta,14,0.5714,0,0,0,0,0,0
stockhk_meta,9,0.8333,0,0,0,0,0,1
stockus_meta,12,0.5417,0,0,0,0,0,0
stock_meta,11,0.5,0,0,0,0,0,0
__init__,3,0.6667,0,0,0,0,0,0
holder,45,0.6556,0,0,0,0,0,2
money_flow,54,0.5278,0,0,0,0,0,0
overall,33,0.697,0,0,0,0,0,1
stock_news,18,0.5556,0,0,0,0,0,0
__init__,6,0.8333,0,0,0,0,0,4
trade_day,7,0.5714,0,0,0,0,0,1
__init__,73,0.7329,0,0,0,0,0,10
block_1d_kdata,7,0.7143,0,0,0,0,0,0
block_1mon_kdata,7,0.5714,0,0,0,0,0,0
block_1wk_kdata,5,0.9,0,0,0,0,0,0
__init__,6,0.5,0,0,0,0,0,0
currency_1d_kdata,8,0.6875,0,0,0,0,0,1
__init__,4,0.75,0,0,0,0,1,0
etf_1d_kdata,6,0.9167,0,0,0,0,0,0
__init__,3,1.0,0,0,0,0,1,0
future_1d_kdata,7,0.5714,0,0,0,0,0,0
__init__,3,0.6667,0,0,0,0,1,0
index_1d_kdata,6,0.8333,0,0,0,0,0,1
index_1m_kdata,8,0.875,0,0,0,0,0,1
index_1wk_kdata,7,0.5714,0,0,0,0,0,0
__init__,9,1.0,0,0,0,0,3,0
indexus_1d_kdata,7,0.6429,0,0,0,0,0,0
__init__,4,0.625,0,0,0,0,1,0
stock_15m_hfq_kdata,7,0.5714,0,0,0,0,0,0
stock_15m_kdata,9,0.9444,0,0,0,0,0,0
stock_1d_hfq_kdata,7,0.7143,0,0,0,0,0,0
stock_1d_kdata,7,0.8571,0,0,0,0,0,0
stock_1h_hfq_kdata,8,0.625,0,0,0,0,0,0
stock_1h_kdata,6,0.5833,0,0,0,0,0,0
stock_1mon_hfq_kdata,7,0.7143,0,0,0,0,0,0
stock_1mon_kdata,8,0.5,0,0,0,0,0,0
stock_1m_hfq_kdata,7,0.8571,0,0,0,0,0,0
stock_1m_kdata,6,0.5,0,0,0,0,0,0
stock_1wk_hfq_kdata,8,0.875,0,0,0,0,0,0
stock_1wk_kdata,7,0.5714,0,0,0,0,0,1
stock_30m_hfq_kdata,9,0.5556,0,0,0,0,0,0
stock_30m_kdata,10,0.65,0,0,0,0,0,0
stock_4h_hfq_kdata,6,0.5833,0,0,0,0,0,0
stock_4h_kdata,8,0.6875,0,0,0,0,0,0
stock_5m_hfq_kdata,6,0.8333,0,0,0,0,0,0
stock_5m_kdata,6,0.5833,0,0,0,0,0,0
stock_quote,41,0.5244,0,0,0,0,0,1
__init__,38,1.0,0,0,0,0,0,0
stockhk_1d_hfq_kdata,7,0.6429,0,0,0,0,0,0
stockhk_1d_kdata,8,0.5,0,0,0,0,0,0
__init__,6,0.6667,0,0,0,0,0,0
stockus_1d_hfq_kdata,6,0.5833,0,0,0,0,0,0
stockus_1d_kdata,7,0.5714,0,0,0,0,0,0
__init__,4,0.75,0,0,0,0,2,0
finance_factor,21,0.7857,0,0,0,1,0,2
__init__,3,0.5,0,0,0,0,0,1
ma_factor,46,0.6957,0,0,0,0,0,6
ma_stats_factor,43,0.7093,0,0,0,0,0,4
top_bottom_factor,20,0.675,0,0,0,0,0,0
__init__,8,0.5,0,0,0,0,0,0
macd_factor,35,0.7286,0,0,0,0,0,0
__init__,3,0.5,0,0,0,0,0,0
base_factor,68,0.7426,0,0,0,0,0,8
zen_factor,126,0.6508,0,0,0,0,0,5
__init__,6,1.0,0,0,0,0,0,0
common,20,0.675,0,0,0,0,0,0
stock_1d_ma_factor,19,0.9737,0,0,0,0,0,0
stock_1d_ma_stats_factor,6,0.6667,0,0,0,0,0,1
__init__,9,0.6667,0,0,0,0,0,3
common,52,0.5192,0,0,0,0,0,1
index_1d_zen_factor,7,0.7143,0,0,0,0,0,0
stock_1d_zen_factor,6,0.6667,0,0,0,0,0,0
stock_1wk_zen_factor,7,0.8571,0,0,0,0,0,0
__init__,12,0.6667,0,0,0,0,0,0
common,106,0.7453,0,0,0,0,5,10
__init__,12,0.75,0,0,0,0,0,0
em_api,272,0.7096,0,0,0,4,12,44
__init__,14,0.5,0,0,0,0,0,0
exchange_etf_meta_recorder,79,0.6329,0,0,0,0,11,10
exchange_index_recorder,23,0.8261,0,0,0,0,0,2
exchange_index_stock_recorder,22,0.7045,0,0,0,0,0,1
exchange_stock_meta_recorder,27,0.5926,0,0,0,0,3,8
exchange_stock_summary_recorder,37,0.8784,0,0,0,1,2,3
__init__,18,0.5,0,0,0,0,0,0
common,20,0.725,0,0,0,0,0,2
__init__,8,0.875,0,0,0,0,6,0
jqka_api,40,0.725,0,0,0,0,4,13
__init__,6,0.8333,0,0,0,0,2,0
__init__,9,1.0,0,0,0,0,0,3
__init__,5,0.5,0,0,0,0,3,0
wb_api,79,0.7532,0,0,0,0,3,11
wb_country_recorder,14,0.8571,0,0,0,0,0,1
wb_economy_recorder,13,0.7308,0,0,0,0,0,1
__init__,9,0.5,0,0,0,0,0,0
eastmoney_dividend_detail_recorder,14,0.75,0,0,0,0,0,2
eastmoney_dividend_financing_recorder,22,0.6818,0,0,0,0,0,2
eastmoney_rights_issue_detail_recorder,19,0.8158,0,0,0,0,0,1
eastmoney_spo_detail_recorder,18,0.5556,0,0,0,0,0,1
__init__,12,0.5,0,0,0,0,0,4
base_china_stock_finance_recorder,70,0.6357,0,0,0,0,1,9
eastmoney_balance_sheet_recorder,11,0.7273,0,0,0,0,0,0
eastmoney_cash_flow_recorder,13,0.6154,0,0,0,0,0,1
eastmoney_finance_factor_recorder,15,0.6,0,0,0,0,0,2
eastmoney_income_statement_recorder,14,0.6786,0,0,0,0,0,1
__init__,10,0.5,0,0,0,0,0,0
eastmoney_stock_actor_recorder,20,0.725,0,0,0,0,1,4
eastmoney_top_ten_holder_recorder,22,0.5909,0,0,0,0,0,0
eastmoney_top_ten_tradable_holder_recorder,6,0.5,0,0,0,0,0,2
__init__,9,0.6667,0,0,0,0,0,3
eastmoney_block_meta_recorder,34,0.7647,0,0,0,0,5,5
eastmoney_stock_meta_recorder,24,0.75,0,0,0,0,2,6
__init__,6,0.5,0,0,0,0,2,0
eastmoney_holder_trading_recorder,19,0.6842,0,0,0,0,0,0
eastmoney_manager_trading_recorder,24,0.5625,0,0,0,0,0,1
__init__,6,0.8333,0,0,0,0,0,0
em_stock_actor_summary_recorder,25,0.8,0,0,0,0,0,1
em_stock_ii_recorder,21,0.5714,0,0,0,0,0,3
em_stock_top_ten_free_recorder,38,0.7368,0,0,0,0,0,6
em_stock_top_ten_recorder,33,0.8788,0,0,0,0,0,6
__init__,8,0.75,0,0,0,0,4,0
em_treasury_yield_recorder,33,0.9242,0,0,0,0,0,2
__init__,3,0.8333,0,0,0,0,1,0
em_block_meta_recorder,24,0.7708,0,0,0,0,1,0
em_cbond_meta_recorder,10,0.95,0,0,0,0,0,0
em_currency_meta_recorder,12,0.9167,0,0,0,0,0,0
em_future_meta_recorder,13,0.9231,0,0,0,0,0,0
em_indexus_meta_recorder,12,0.875,0,0,0,0,0,0
em_index_meta_recorder,17,0.8529,0,0,0,0,0,0
em_stockhk_meta_recorder,18,0.8056,0,0,0,0,0,0
em_stockus_meta_recorder,10,0.95,0,0,0,0,0,0
em_stock_meta_recorder,16,0.875,0,0,0,1,0,0
__init__,18,0.75,0,0,0,0,0,0
em_stock_news_recorder,23,0.6957,0,0,0,0,0,3
__init__,4,0.875,0,0,0,0,1,0
em_kdata_recorder,68,0.6471,0,0,0,0,1,4
__init__,3,0.6667,0,0,0,0,1,0
em_dragon_and_tiger_recorder,12,0.625,0,0,0,0,0,2
__init__,4,0.625,0,0,0,0,1,0
cn_index_api,19,0.6316,0,0,0,0,3,5
cn_index_stock_api,19,0.7105,0,0,0,0,3,3
cs_index_api,29,0.7586,0,0,0,0,4,2
cs_index_stock_api,11,0.8182,0,0,0,0,1,2
__init__,8,1.0,0,0,0,0,0,0
jq_etf_valuation_recorder,10,0.7,0,0,0,0,0,1
jq_margin_trading_recorder,16,0.5312,0,0,0,0,0,2
jq_stock_valuation_recorder,21,0.6667,0,0,0,0,0,0
__init__,10,0.7,0,0,0,0,0,0
jq_fund_meta_recorder,41,0.6951,0,0,0,0,0,5
jq_stock_meta_recorder,59,0.8136,0,0,0,0,0,4
jq_trade_day_recorder,26,0.6346,0,0,0,0,1,1
__init__,6,0.75,0,0,0,0,0,0
jq_hk_holder_recorder,42,0.8214,0,0,0,1,0,2
jq_index_money_flow_recorder,27,0.8333,0,0,0,0,0,1
jq_stock_money_flow_recorder,45,0.6222,0,0,0,0,1,6
__init__,10,0.5,0,0,0,0,3,0
jq_cross_market_recorder,25,0.66,0,0,0,0,1,1
jq_margin_trading_recorder,28,0.75,0,0,0,0,0,6
jq_stock_summary_recorder,20,0.6,0,0,0,0,1,1
__init__,6,0.5,0,0,0,0,0,3
jq_index_kdata_recorder,52,0.7692,0,0,0,0,1,4
jq_stock_kdata_recorder,44,0.6705,0,0,0,0,1,4
__init__,6,0.5,0,0,0,0,0,2
JqkaEmotionRecorder,101,0.7426,0,0,0,0,0,16
__init__,4,0.75,0,0,0,0,1,0
qmt_index_recorder,37,0.7432,0,0,0,0,0,0
__init__,5,0.5,0,0,0,0,1,0
qmt_stock_meta_recorder,10,0.8,0,0,0,0,0,1
__init__,4,0.5,0,0,0,0,0,1
qmt_kdata_recorder,45,0.7556,0,0,0,0,2,2
__init__,3,0.6667,0,0,0,0,0,1
sina_block_recorder,38,0.6711,0,0,0,1,4,5
__init__,4,0.875,0,0,0,0,1,0
sina_block_money_flow_recorder,27,0.7407,0,0,0,1,1,2
sina_stock_money_flow_recorder,32,0.6719,0,0,0,1,1,5
__init__,6,0.5,0,0,0,0,0,0
sina_etf_kdata_recorder,40,0.6625,0,0,0,0,6,4
sina_index_kdata_recorder,29,0.7241,0,0,0,0,1,3
__init__,9,0.5,0,0,0,0,2,0
factor_app,64,0.6172,0,0,0,0,1,4
dcc_components,35,0.7714,0,0,0,0,0,2
test_common,14,0.8214,0,0,0,0,0,0
test_dividend_financing,30,0.7667,0,0,0,0,0,7
test_finance,54,0.6759,0,0,0,0,0,1
test_holder,23,0.6304,0,0,0,0,0,9
test_intent,47,0.734,0,0,0,0,0,3
test_joinquant_quotes,12,0.5833,0,0,0,0,0,4
test_kdata,30,0.7833,0,0,0,0,0,14
test_technical,10,0.55,0,0,0,0,1,2
test_trading,24,0.625,0,0,0,0,0,6
test_add_provider_plugin,2,0.75,0,0,0,0,0,0
test_entity,41,0.9634,0,0,0,0,0,0
test_reader,20,0.85,0,0,0,0,0,9
test_schema,24,0.9167,0,0,0,0,0,0
test_algorithm,33,0.803,0,0,0,0,0,0
test_factors,7,0.7143,0,0,0,0,0,0
test_factor_select_targets,14,0.6071,0,0,0,0,0,1
test_technical_factor,34,0.6912,0,0,0,0,0,12
test_transformers,12,0.7083,0,0,0,0,0,0
test_sgd,26,0.8077,0,0,0,0,0,2
test_trader,57,0.7719,0,0,0,0,2,10
test_pd_utils,10,0.55,0,0,0,0,0,0
test_time_utils,45,0.8667,0,0,0,0,0,6
test_utils,24,0.7292,0,0,0,0,0,2
test_china_stock_list_recorder,7,0.6429,0,0,0,0,0,1
test_dividend_financing_recorder,17,0.7353,0,0,0,0,0,4
test_finance,20,0.8,0,0,0,0,0,4
test_holder_recorder,14,0.75,0,0,0,0,0,2
test_meta_recorder,8,0.75,0,0,0,0,0,2
test_trading_recorder,13,0.6154,0,0,0,0,0,2
test_em_api,4,0.5,0,0,0,0,0,0
test_quote_recorder,34,0.7353,0,0,0,0,0,8
test_stock_money_flow,7,1.0,0,0,0,0,0,2
